序号,企业名称,企业编号,建筑物名称,建筑物编号,车间名称,车间编号,工艺名称,工艺编号,采样点名称,采样点编号,最小值,最大值,低低设,低设,高设,高高设,类别,描述,x坐标,y坐标,高度,宽度,单位,测点
93,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,V1006B待精馏高沸罐压力,q0083p0102,0,1,0,0.1,0.8,0.9,工艺点位,,338,520,,,Mpa,
94,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1028罐液位(磁翻板) 硅醚,q0083p0103,0,5600,0,600,4500,4800,工艺点位,,988,700,,,mm,
95,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1027罐液位(磁翻板) 三甲,q0083p0104,0,5800,0,600,4500,4800,工艺点位,,842,650,,,mm,
96,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1026罐液位(磁翻板) 硅氮,q0083p0105,0,5600,0,600,4500,4800,工艺点位,,695,650,,,mm,
97,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1025罐液位(磁翻板) 氯苯,q0083p0106,0,5600,0,600,4500,4800,工艺点位,,542,650,,,mm,
98,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1024罐液位(磁翻板) 二次低沸物,q0083p0107,0,5600,0,600,4500,4800,工艺点位,,977,280,,,mm,
99,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1023罐液位(磁翻板) 含苯低沸物,q0083p0108,0,5600,0,600,4500,4800,工艺点位,,826,280,,,mm,
100,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1022罐液位(磁翻板) 三甲基氯硅烷,q0083p0109,0,5600,0,600,4500,4800,工艺点位,,680,180,,,mm,
101,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1021罐液位(磁翻板) 三甲基氯硅烷,q0083p0110,0,5600,0,600,4500,4800,工艺点位,,540,280,,,mm,
102,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,V1011A低沸联苯罐压力,q0083p0111,0,1,0,0.1,0.8,0.9,工艺点位,,512,380,,,Mpa,
103,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1024压力 二次低沸物,q0083p0112,0,1,0,0.1,0.8,0.9,工艺点位,,977,330,,,Mpa,
104,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1023压力 含苯低沸物,q0083p0113,0,1,0,0.1,0.8,0.9,工艺点位,,826,330,,,Mpa,
